dataset file	MONA command	Lisa command	MONA DFA #states	Lisa DFA #states
datasets/len_1/006.ltlf         	./ltlf2fol BNF datasets/len_1/006.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/006.ltlf                 	3	6
datasets/len_1/007.ltlf         	./ltlf2fol BNF datasets/len_1/007.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/007.ltlf                 	515	1
datasets/len_1/008.ltlf         	./ltlf2fol BNF datasets/len_1/008.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/008.ltlf                 	67	66
datasets/len_1/009.ltlf         	./ltlf2fol BNF datasets/len_1/009.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/009.ltlf                 	3	6
datasets/len_1/010.ltlf         	./ltlf2fol BNF datasets/len_1/010.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/010.ltlf                 	3	6
datasets/len_1/011.ltlf         	./ltlf2fol BNF datasets/len_1/011.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/011.ltlf                 	132	1
datasets/len_1/012.ltlf         	./ltlf2fol BNF datasets/len_1/012.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/012.ltlf                 	3	6
datasets/len_1/013.ltlf         	./ltlf2fol BNF datasets/len_1/013.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/013.ltlf                 	35	1
datasets/len_1/014.ltlf         	./ltlf2fol BNF datasets/len_1/014.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/014.ltlf                 	131	1
datasets/len_1/015.ltlf         	./ltlf2fol BNF datasets/len_1/015.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/015.ltlf                 	68	1
datasets/len_1/016.ltlf         	./ltlf2fol BNF datasets/len_1/016.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/016.ltlf                 	1	1
datasets/len_1/017.ltlf         	./ltlf2fol BNF datasets/len_1/017.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/017.ltlf                 	67	1
datasets/len_1/018.ltlf         	./ltlf2fol BNF datasets/len_1/018.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/018.ltlf                 	259	1
datasets/len_1/019.ltlf         	./ltlf2fol BNF datasets/len_1/019.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/019.ltlf                 	35	1
datasets/len_1/020.ltlf         	./ltlf2fol BNF datasets/len_1/020.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/020.ltlf                 	132	1
datasets/len_1/021.ltlf         	./ltlf2fol BNF datasets/len_1/021.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/021.ltlf                 	515	1
datasets/len_1/022.ltlf         	./ltlf2fol BNF datasets/len_1/022.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/022.ltlf                 	35	34
datasets/len_1/023.ltlf         	./ltlf2fol BNF datasets/len_1/023.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/023.ltlf                 	1	1
datasets/len_1/024.ltlf         	./ltlf2fol BNF datasets/len_1/024.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/024.ltlf                 	68	4
datasets/len_1/025.ltlf         	./ltlf2fol BNF datasets/len_1/025.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/025.ltlf                 	260	4
datasets/len_1/026.ltlf         	./ltlf2fol BNF datasets/len_1/026.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/026.ltlf                 	3	7
datasets/len_1/027.ltlf         	./ltlf2fol BNF datasets/len_1/027.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/027.ltlf                 	132	4
datasets/len_1/028.ltlf         	./ltlf2fol BNF datasets/len_1/028.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/028.ltlf                 	35	1
datasets/len_1/029.ltlf         	./ltlf2fol BNF datasets/len_1/029.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/029.ltlf                 	3	6
datasets/len_1/030.ltlf         	./ltlf2fol BNF datasets/len_1/030.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/030.ltlf                 	3	6
datasets/len_1/031.ltlf         	./ltlf2fol BNF datasets/len_1/031.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/031.ltlf                 	259	1
datasets/len_1/032.ltlf         	./ltlf2fol BNF datasets/len_1/032.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/032.ltlf                 	3	6
datasets/len_1/033.ltlf         	./ltlf2fol BNF datasets/len_1/033.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/033.ltlf                 	3	7
datasets/len_1/034.ltlf         	./ltlf2fol BNF datasets/len_1/034.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/034.ltlf                 	36	1
datasets/len_1/035.ltlf         	./ltlf2fol BNF datasets/len_1/035.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/035.ltlf                 	3	6
datasets/len_1/036.ltlf         	./ltlf2fol BNF datasets/len_1/036.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/036.ltlf                 	515	1
datasets/len_1/037.ltlf         	./ltlf2fol BNF datasets/len_1/037.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/037.ltlf                 	3	6
datasets/len_1/038.ltlf         	./ltlf2fol BNF datasets/len_1/038.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/038.ltlf                 	3	7
datasets/len_1/039.ltlf         	./ltlf2fol BNF datasets/len_1/039.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/039.ltlf                 	1	1
datasets/len_1/040.ltlf         	./ltlf2fol BNF datasets/len_1/040.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/040.ltlf                 	3	6
datasets/len_1/041.ltlf         	./ltlf2fol BNF datasets/len_1/041.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/041.ltlf                 	132	4
datasets/len_1/042.ltlf         	./ltlf2fol BNF datasets/len_1/042.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/042.ltlf                 	131	1
datasets/len_1/043.ltlf         	./ltlf2fol BNF datasets/len_1/043.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/043.ltlf                 	131	1
datasets/len_1/044.ltlf         	./ltlf2fol BNF datasets/len_1/044.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/044.ltlf                 	3	7
datasets/len_1/045.ltlf         	./ltlf2fol BNF datasets/len_1/045.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/045.ltlf                 	259	258
datasets/len_1/046.ltlf         	./ltlf2fol BNF datasets/len_1/046.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/046.ltlf                 	3	6
datasets/len_1/047.ltlf         	./ltlf2fol BNF datasets/len_1/047.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/047.ltlf                 	259	1
datasets/len_1/048.ltlf         	./ltlf2fol BNF datasets/len_1/048.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/048.ltlf                 	3	6
datasets/len_1/049.ltlf         	./ltlf2fol BNF datasets/len_1/049.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/049.ltlf                 	68	4
datasets/len_1/050.ltlf         	./ltlf2fol BNF datasets/len_1/050.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/050.ltlf                 	3	6
datasets/len_1/051.ltlf         	./ltlf2fol BNF datasets/len_1/051.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/051.ltlf                 	515	1
datasets/len_1/052.ltlf         	./ltlf2fol BNF datasets/len_1/052.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/052.ltlf                 	259	258
datasets/len_1/053.ltlf         	./ltlf2fol BNF datasets/len_1/053.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/053.ltlf                 	67	1
datasets/len_1/054.ltlf         	./ltlf2fol BNF datasets/len_1/054.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/054.ltlf                 	68	4
datasets/len_1/055.ltlf         	./ltlf2fol BNF datasets/len_1/055.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/055.ltlf                 	1	1
datasets/len_1/056.ltlf         	./ltlf2fol BNF datasets/len_1/056.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/056.ltlf                 	36	1
datasets/len_1/057.ltlf         	./ltlf2fol BNF datasets/len_1/057.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/057.ltlf                 	259	1
datasets/len_1/058.ltlf         	./ltlf2fol BNF datasets/len_1/058.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/058.ltlf                 	67	1
datasets/len_1/059.ltlf         	./ltlf2fol BNF datasets/len_1/059.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/059.ltlf                 	3	6
datasets/len_1/060.ltlf         	./ltlf2fol BNF datasets/len_1/060.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/060.ltlf                 	3	6
datasets/len_1/061.ltlf         	./ltlf2fol BNF datasets/len_1/061.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/061.ltlf                 	3	6
datasets/len_1/062.ltlf         	./ltlf2fol BNF datasets/len_1/062.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/062.ltlf                 	1	1
datasets/len_1/063.ltlf         	./ltlf2fol BNF datasets/len_1/063.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/063.ltlf                 	1	1
datasets/len_1/064.ltlf         	./ltlf2fol BNF datasets/len_1/064.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/064.ltlf                 	3	6
datasets/len_1/065.ltlf         	./ltlf2fol BNF datasets/len_1/065.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/065.ltlf                 	516	4
datasets/len_1/066.ltlf         	./ltlf2fol BNF datasets/len_1/066.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/066.ltlf                 	3	6
datasets/len_1/067.ltlf         	./ltlf2fol BNF datasets/len_1/067.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/067.ltlf                 	515	1
datasets/len_1/068.ltlf         	./ltlf2fol BNF datasets/len_1/068.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/068.ltlf                 	260	1
datasets/len_1/069.ltlf         	./ltlf2fol BNF datasets/len_1/069.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/069.ltlf                 	3	6
datasets/len_1/070.ltlf         	./ltlf2fol BNF datasets/len_1/070.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/070.ltlf                 	515	1
datasets/len_1/071.ltlf         	./ltlf2fol BNF datasets/len_1/071.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/071.ltlf                 	3	6
datasets/len_1/072.ltlf         	./ltlf2fol BNF datasets/len_1/072.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/072.ltlf                 	1	1
datasets/len_1/073.ltlf         	./ltlf2fol BNF datasets/len_1/073.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/073.ltlf                 	1	1
datasets/len_1/074.ltlf         	./ltlf2fol BNF datasets/len_1/074.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/074.ltlf                 	259	258
datasets/len_1/075.ltlf         	./ltlf2fol BNF datasets/len_1/075.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/075.ltlf                 	68	4
datasets/len_1/076.ltlf         	./ltlf2fol BNF datasets/len_1/076.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/076.ltlf                 	3	6
datasets/len_1/077.ltlf         	./ltlf2fol BNF datasets/len_1/077.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/077.ltlf                 	1	1
datasets/len_1/078.ltlf         	./ltlf2fol BNF datasets/len_1/078.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/078.ltlf                 	515	1
datasets/len_1/079.ltlf         	./ltlf2fol BNF datasets/len_1/079.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/079.ltlf                 	3	6
datasets/len_1/080.ltlf         	./ltlf2fol BNF datasets/len_1/080.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/080.ltlf                 	1	1
datasets/len_1/081.ltlf         	./ltlf2fol BNF datasets/len_1/081.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/081.ltlf                 	67	66
datasets/len_1/082.ltlf         	./ltlf2fol BNF datasets/len_1/082.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/082.ltlf                 	259	1
datasets/len_1/083.ltlf         	./ltlf2fol BNF datasets/len_1/083.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/083.ltlf                 	131	1
datasets/len_1/084.ltlf         	./ltlf2fol BNF datasets/len_1/084.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/084.ltlf                 	67	66
datasets/len_1/085.ltlf         	./ltlf2fol BNF datasets/len_1/085.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/085.ltlf                 	3	7
datasets/len_1/086.ltlf         	./ltlf2fol BNF datasets/len_1/086.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/086.ltlf                 	3	6
datasets/len_1/087.ltlf         	./ltlf2fol BNF datasets/len_1/087.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/087.ltlf                 	1	1
datasets/len_1/088.ltlf         	./ltlf2fol BNF datasets/len_1/088.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/088.ltlf                 	3	6
datasets/len_1/089.ltlf         	./ltlf2fol BNF datasets/len_1/089.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/089.ltlf                 	1	1
datasets/len_1/090.ltlf         	./ltlf2fol BNF datasets/len_1/090.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/090.ltlf                 	36	4
datasets/len_1/091.ltlf         	./ltlf2fol BNF datasets/len_1/091.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/091.ltlf                 	131	1
datasets/len_1/092.ltlf         	./ltlf2fol BNF datasets/len_1/092.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/092.ltlf                 	1	1
datasets/len_1/093.ltlf         	./ltlf2fol BNF datasets/len_1/093.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/093.ltlf                 	3	6
datasets/len_1/094.ltlf         	./ltlf2fol BNF datasets/len_1/094.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/094.ltlf                 	3	6
datasets/len_1/095.ltlf         	./ltlf2fol BNF datasets/len_1/095.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/095.ltlf                 	35	34
datasets/len_1/096.ltlf         	./ltlf2fol BNF datasets/len_1/096.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/096.ltlf                 	1	1
datasets/len_1/097.ltlf         	./ltlf2fol BNF datasets/len_1/097.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/097.ltlf                 	1	1
datasets/len_1/098.ltlf         	./ltlf2fol BNF datasets/len_1/098.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/098.ltlf                 	3	6
datasets/len_1/099.ltlf         	./ltlf2fol BNF datasets/len_1/099.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/099.ltlf                 	3	6
datasets/len_1/100.ltlf         	./ltlf2fol BNF datasets/len_1/100.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/100.ltlf                 	1	1
datasets/len_1/101.ltlf         	./ltlf2fol BNF datasets/len_1/101.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/101.ltlf                 	3	6
datasets/len_1/102.ltlf         	./ltlf2fol BNF datasets/len_1/102.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/102.ltlf                 	3	6
datasets/len_1/103.ltlf         	./ltlf2fol BNF datasets/len_1/103.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/103.ltlf                 	516	4
datasets/len_1/104.ltlf         	./ltlf2fol BNF datasets/len_1/104.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/104.ltlf                 	36	1
datasets/len_1/105.ltlf         	./ltlf2fol BNF datasets/len_1/105.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/105.ltlf                 	3	7
datasets/len_1/106.ltlf         	./ltlf2fol BNF datasets/len_1/106.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/106.ltlf                 	35	1
datasets/len_1/107.ltlf         	./ltlf2fol BNF datasets/len_1/107.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/107.ltlf                 	516	1
datasets/len_1/108.ltlf         	./ltlf2fol BNF datasets/len_1/108.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/108.ltlf                 	3	6
datasets/len_1/109.ltlf         	./ltlf2fol BNF datasets/len_1/109.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/109.ltlf                 	3	6
datasets/len_1/110.ltlf         	./ltlf2fol BNF datasets/len_1/110.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/110.ltlf                 	131	1
datasets/len_1/111.ltlf         	./ltlf2fol BNF datasets/len_1/111.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/111.ltlf                 	35	1
datasets/len_1/112.ltlf         	./ltlf2fol BNF datasets/len_1/112.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/112.ltlf                 	260	1
datasets/len_1/113.ltlf         	./ltlf2fol BNF datasets/len_1/113.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/113.ltlf                 	259	1
datasets/len_1/114.ltlf         	./ltlf2fol BNF datasets/len_1/114.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/114.ltlf                 	515	514
datasets/len_1/115.ltlf         	./ltlf2fol BNF datasets/len_1/115.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/115.ltlf                 	3	7
datasets/len_1/116.ltlf         	./ltlf2fol BNF datasets/len_1/116.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/116.ltlf                 	3	6
datasets/len_1/117.ltlf         	./ltlf2fol BNF datasets/len_1/117.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/117.ltlf                 	36	4
datasets/len_1/118.ltlf         	./ltlf2fol BNF datasets/len_1/118.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/118.ltlf                 	515	1
datasets/len_1/119.ltlf         	./ltlf2fol BNF datasets/len_1/119.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/119.ltlf                 	3	6
datasets/len_1/120.ltlf         	./ltlf2fol BNF datasets/len_1/120.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/120.ltlf                 	516	4
datasets/len_1/121.ltlf         	./ltlf2fol BNF datasets/len_1/121.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/121.ltlf                 	67	1
datasets/len_1/122.ltlf         	./ltlf2fol BNF datasets/len_1/122.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/122.ltlf                 	68	1
datasets/len_1/123.ltlf         	./ltlf2fol BNF datasets/len_1/123.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/123.ltlf                 	1	1
datasets/len_1/124.ltlf         	./ltlf2fol BNF datasets/len_1/124.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/124.ltlf                 	67	1
datasets/len_1/125.ltlf         	./ltlf2fol BNF datasets/len_1/125.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/125.ltlf                 	67	1
datasets/len_1/126.ltlf         	./ltlf2fol BNF datasets/len_1/126.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/126.ltlf                 	3	7
datasets/len_1/127.ltlf         	./ltlf2fol BNF datasets/len_1/127.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/127.ltlf                 	1	1
datasets/len_1/128.ltlf         	./ltlf2fol BNF datasets/len_1/128.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/128.ltlf                 	131	130
datasets/len_1/129.ltlf         	./ltlf2fol BNF datasets/len_1/129.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/129.ltlf                 	67	1
datasets/len_1/130.ltlf         	./ltlf2fol BNF datasets/len_1/130.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/130.ltlf                 	3	6
datasets/len_1/131.ltlf         	./ltlf2fol BNF datasets/len_1/131.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/131.ltlf                 	3	6
datasets/len_1/132.ltlf         	./ltlf2fol BNF datasets/len_1/132.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/132.ltlf                 	131	130
datasets/len_1/133.ltlf         	./ltlf2fol BNF datasets/len_1/133.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/133.ltlf                 	1	1
